X;Y;ID
4197869.21121685;3854316.44902309;139315
4198261.29479496;3855003.69862807;139316
4198653.40570932;3855690.9591434;139317
4199045.54395732;3856378.2305607;139318
4199437.70953634;3857065.51287163;139319
4199829.90244375;3857752.80606784;139320
4200222.12267693;3858440.11014096;139321
4200614.37023326;3859127.42508265;139322
4201006.64511011;3859814.75088454;139323
4201398.94730485;3860502.08753828;139324
4201791.27681486;3861189.43503551;139325
4202183.6336375;3861876.79336786;139326
4202576.01777016;3862564.16252698;139327
4202968.42921019;3863251.54250449;139328
4203360.86795496;3863938.93329204;139329
4203753.33400185;3864626.33488124;139330
4204145.82734822;3865313.74726376;139331
4204538.34799142;3866001.1704312;139332
4204930.89592884;3866688.60437519;139333
4205323.47115782;3867376.04908737;139334
4205716.07367574;3868063.50455936;139335
4206108.70347994;3868750.9707828;139336
4206501.3605678;3869438.44774928;139337
4206894.04493667;3870125.93545045;139338
4207286.7565839;3870813.43387793;139339
4207679.49550686;3871500.94302334;139340
4208072.2617029;3872188.4628783;139341
4208465.05516937;3872875.99343441;139342
4208857.87590363;3873563.5346833;139343
4209250.72390302;3874251.08661659;139344
4209643.59916491;3874938.64922588;139345
4210036.50168663;3875626.22250279;139346
4210429.43146555;3876313.80643893;139347
4210822.388499;3877001.40102591;139348
4211215.37278433;3877689.00625534;139349
4211608.38431889;3878376.62211882;139350
4212001.42310003;3879064.24860797;139351
4212394.48912508;3879751.88571438;139352
4212787.5823914;3880439.53342965;139353
4213180.70289631;3881127.1917454;139354
4213573.85063717;3881814.86065322;139355
4213967.02561131;3882502.54014471;139356
4214360.22781607;3883190.23021147;139357
4214753.45724879;3883877.93084509;139358
4215146.7139068;3884565.64203717;139359
4215539.99778744;3885253.36377932;139360
4215933.30888804;3885941.0960631;139361
4216326.64720594;3886628.83888012;139362
4216720.01273846;3887316.59222197;139363
4217113.40548295;3888004.35608024;139364
4217506.82543672;3888692.13044651;139365
4217900.27259711;3889379.91531238;139366
4218293.74696145;3890067.71066941;139367
4218687.24852706;3890755.51650921;139368
4219080.77729126;3891443.33282336;139369
4219474.33325139;3892131.15960342;139370
4219867.91640477;3892818.99684099;139371
4220261.52674871;3893506.84452764;139372
4220655.16428054;3894194.70265495;139373
4221048.82899758;3894882.57121449;139374
4221442.52089715;3895570.45019784;139375
4221836.23997657;3896258.33959659;139376
4222229.98623315;3896946.23940227;139377
4222623.75966422;3897634.14960648;139378
4223017.56026707;3898322.07020079;139379
4223411.38803904;3899010.00117677;139380
4223805.24297744;3899697.94252597;139381
4226168.94295205;3903825.80798657;139387
4226562.98798008;3904513.82171214;139388
4226957.06015299;3905201.84574341;139389
4228139.43951408;3907265.97958712;139392
4228533.62023956;3907954.04475682;139393
4228927.82809644;3908642.12019;139394
4229322.06308202;3909330.2058782;139395
4152664.67722214;3776430.93176867;139681
4153053.61116006;3777116.90946719;139682
4153442.57272851;3777802.89901964;139683
4153831.561925;3778488.90041782;139684
4154220.57874702;3779174.91365352;139685
4154609.62319208;3779860.93871853;139686
4154998.69525768;3780546.97560466;139687
4155387.79494131;3781233.02430371;139688
4155776.92224046;3781919.08480746;139689
4156166.07715264;3782605.15710771;139690
4156555.25967533;3783291.24119626;139691
4156944.46980604;3783977.33706487;139692
4157333.70754224;3784663.44470535;139693
4157722.97288144;3785349.56410948;139694
4158112.26582112;3786035.69526905;139695
4158501.58635876;3786721.83817585;139696
4158890.93449187;3787407.99282166;139697
4159280.31021792;3788094.15919824;139698
4159669.7135344;3788780.3372974;139699
4160059.1444388;3789466.5271109;139700
4160448.60292859;3790152.72863053;139701
4160838.08900127;3790838.94184804;139702
4161227.6026543;3791525.16675525;139703
4161617.14388518;3792211.40334389;139704
4162006.71269137;3792897.65160575;139705
4162396.30907037;3793583.91153261;139706
4162785.93301964;3794270.18311623;139707
4163175.58453666;3794956.46634837;139708
4163565.2636189;3795642.7612208;139709
4163954.97026385;3796329.06772529;139710
4164344.70446897;3797015.38585361;139711
4164734.46623173;3797701.7155975;139712
4165124.25554961;3798388.05694876;139713
4165514.07242007;3799074.40989911;139714
4165903.91684058;3799760.77444034;139715
4166293.78880862;3800447.15056419;139716
4166683.68832164;3801133.53826241;139717
4167073.61537711;3801819.93752677;139718
4167463.5699725;3802506.34834902;139719
4167853.55210526;3803192.77072089;139720
4168243.56177287;3803879.20463418;139721
4168633.59897277;3804565.65008059;139722
4169023.66370244;3805252.10705189;139723
4169413.75595933;3805938.57553981;139724
4169803.8757409;3806625.05553613;139725
4170194.0230446;3807311.54703255;139726
4170584.1978679;3807998.05002085;139727
4170974.40020824;3808684.56449275;139728
4171364.63006307;3809371.09044001;139729
4171754.88742986;3810057.62785434;139730
4172145.17230605;3810744.17672749;139731
4172535.48468909;3811430.73705121;139732
4172925.82457644;3812117.30881721;139733
4173316.19196553;3812803.89201724;139734
4173706.58685382;3813490.48664302;139735
4174097.00923876;3814177.09268631;139736
4174487.45911779;3814863.7101388;139737
4174877.93648834;3815550.33899223;139738
4175268.44134787;3816236.97923834;139739
4175658.97369382;3816923.63086885;139740
4176049.53352363;3817610.29387547;139741
4176440.12083474;3818296.96824993;139742
4176830.73562458;3818983.65398396;139743
4177221.37789059;3819670.35106928;139744
4177612.04763022;3820357.0594976;139745
4178002.74484089;3821043.77926064;139746
4178393.46952004;3821730.51035012;139747
4178784.2216651;3822417.25275774;139748
4179175.00127351;3823104.00647523;139749
4179565.8083427;3823790.77149429;139750
4179956.64287009;3824477.54780664;139751
4180347.50485312;3825164.33540398;139752
4180738.39428921;3825851.13427803;139753
4181129.31117579;3826537.94442049;139754
4181520.25551029;3827224.76582306;139755
4181911.22729014;3827911.59847745;139756
4182302.22651274;3828598.44237538;139757
4182693.25317554;3829285.29750851;139758
4183084.30727594;3829972.16386857;139759
4183475.38881138;3830659.04144725;139760
4183866.49777926;3831345.93023625;139761
4184257.63417701;3832032.83022726;139762
